streetname,num_of_uplifts,maintenance_suggestion,repair_priority,surface_type,length_ft,area_sy,sci_2023,sw_id,avg_width,num_of_distresses,bufferwidth_avg,num_crack_minor,num_crack_moderate,num_crack_severe,num_grass_present,num_surface_distortion_minor,num_surface_distortion_mod,num_surface_distortion_severe,num_uplift_general_minor,num_uplift_general_moderate,num_uplift_general_severe,num_uplift_tree_minor,num_uplift_tree_moderate,num_uplift_tree_severe,num_utility_hazard_present,avg_stress_lvl_Dummy
ELIZABETHAN CT,13,Reconstruction,73.65112864,Concrete,367,183.5,47,1088,4.5,23,,10,0,0,0,0,0,0,9,1,3,0,0,0,0,
COTSWOLD LN,19,Reconstruction,90.71371434,Concrete,212,106,10,1089,4.5,20,,1,0,0,0,0,0,0,5,5,6,0,0,3,0,
YORK RD,6,Reconstruction,66.44915291,Concrete,158,87.77999878,53,1090,5,6,,0,0,0,0,0,0,0,3,2,0,0,0,1,0,
PERTHWAY DR,6,Defer Maintenance,70.50753479,Concrete,228,139.3300018,66,1091,5.5,15,,4,2,0,0,3,0,0,5,0,0,0,0,1,0,
PERTHWAY DR,5,Defer Maintenance,67.82066026,Concrete,258,129,72,1092,4.5,10,,4,0,0,0,1,0,0,2,2,0,0,1,0,0,
SELKIRK DR,10,Reconstruction,71.45603367,Concrete,378,231,52,1093,5.5,27,,16,0,0,0,1,0,0,2,6,1,0,0,1,0,
PERTHWAY DR,6,Reconstruction,73.35062437,Concrete,270,120,55,1094,4,17,,6,2,1,0,0,1,1,1,0,0,0,5,0,0,
BALMORAL CT,13,Reconstruction,78.17204079,Concrete,472,209.7799988,21,1095,4,85,,20,25,3,0,8,13,3,2,6,2,1,1,0,1,
SELKIRK DR,8,Reconstruction,76.24672982,Concrete,249,110.6699982,47,1096,4,30,,11,5,0,2,2,2,0,4,3,0,1,0,0,0,
DUNBARTON CT,16,Reconstruction,76.59563036,Concrete,453,201.3300018,27,1097,4,82,,29,18,1,1,6,10,1,8,6,0,0,0,0,2,
RENFREW DR,14,Reconstruction,81.05545452,Concrete,291,145.5,31,1098,4.5,27,,11,0,0,0,2,0,0,4,9,1,0,0,0,0,
THORNHILL DR,5,Defer Maintenance,73.50818883,Concrete,157,87.22000122,63,1099,5,9,,4,0,0,0,0,0,0,3,1,0,0,1,0,0,
THORNHILL DR,10,Reconstruction,83.23216839,Concrete,158,70.22000122,35,1100,4,16,,3,0,1,0,1,0,1,6,1,1,1,1,0,0,
RENFREW DR,14,Reconstruction,81.62672748,Concrete,257,153.4900055,32,1101,5.375,24,,9,0,0,0,1,0,0,3,7,1,0,2,1,0,
RENFREW CT,15,Reconstruction,77.60091371,Concrete,450,256.25,26,1102,5.125,66,,23,13,0,0,2,13,0,4,6,5,0,0,0,0,
CARRBRIDGE CT,11,Reconstruction,81.73956702,Concrete,453,283.1199951,13,1103,5.625,78,,11,18,8,0,4,18,8,3,4,4,0,0,0,0,
BRORA DR,2,Reconstruction,77.36308997,Concrete,95,60.68999863,57,1104,5.75,3,,1,0,0,0,0,0,0,0,2,0,0,0,0,0,
E IRELAND RD,11,Reconstruction,77.02823055,Concrete,162,99,7,1105,5.5,17,,0,2,1,0,0,2,1,0,3,8,0,0,0,0,
MIAMI ST,19,Reconstruction,62.12688309,Concrete,365,233.1900024,34,1106,5.75,27,,4,0,0,0,4,0,0,10,8,1,0,0,0,0,
E FAIRINGTON CIR,6,Defer Maintenance,56.52807494,Concrete,572,309.8299866,82,1107,4.875,14,,6,1,0,0,0,1,0,4,2,0,0,0,0,0,
BYRON DR,5,Reconstruction,79.95471587,Concrete,134,80.02999878,46,1108,5.375,14,,3,3,0,0,0,3,0,4,0,0,0,1,0,0,
GLENLAKE DR,12,Reconstruction,83.38178229,Concrete,137,89.43000031,36,1109,5.875,16,,1,2,0,0,0,1,0,10,0,0,2,0,0,0,
CLAYTON DR,46,Reconstruction,75.30694738,Concrete,564,321.1700134,22,1110,5.125,93,,20,9,2,2,3,9,2,31,10,1,3,0,0,1,
RIDGEDALE RD,1,Reconstruction,83.65162707,Concrete,114,68.08000183,22,1111,5.375,14,,1,5,1,0,0,5,1,1,0,0,0,0,0,0,
HILLSDALE RD,75,Reconstruction,79.49351069,Concrete,540,337.5,12,1112,5.625,92,,13,1,0,0,2,1,0,56,12,2,5,0,0,0,
RIDGEDALE RD,12,Reconstruction,81.45525563,Concrete,134,78.16999817,27,1113,5.25,12,,0,0,0,0,0,0,0,8,1,1,2,0,0,0,
AVONDALE RD,18,Reconstruction,82.996387,Concrete,351,199.8800049,20,1114,5.125,42,,8,8,0,0,0,8,0,0,3,9,0,3,2,1,
E IRVINGTON ST,10,Reconstruction,80.57162551,Concrete,144,78,44,1115,4.875,10,,0,0,0,0,0,0,0,9,0,0,1,0,0,0,
S FAIRFAX CT,14,Reconstruction,72.46692131,Concrete,382,222.8300018,49,1116,5.25,26,,10,1,0,0,0,1,0,8,6,0,0,0,0,0,
FAIRFAX DR,9,Defer Maintenance,71.12309503,Concrete,275,183.3300018,61,1117,6,16,,6,0,0,0,1,0,0,8,1,0,0,0,0,0,
FAIRFAX DR,2,Reconstruction,82.81426578,Concrete,246,150.3300018,27,1118,5.5,48,,23,9,0,2,4,8,0,2,0,0,0,0,0,0,
SELKIRK DR,7,Reconstruction,79.89055221,Concrete,246,140.0800018,37,1119,5.125,30,,8,6,1,0,4,3,1,3,4,0,0,0,0,0,
THORNHILL DR,12,Reconstruction,83.62352052,Concrete,272,154.8899994,26,1120,5.125,18,,6,0,0,0,0,0,0,2,3,6,1,0,0,0,
THORNHILL DR,23,Reconstruction,84.000248,Concrete,339,197.75,18,1121,5.25,42,,13,3,0,0,0,3,0,5,10,5,0,1,2,0,
W DEAN ST,2,Reconstruction,90.07757262,Concrete,86,46.58000183,21,1122,4.875,13,,0,4,0,3,0,4,0,0,0,2,0,0,0,0,
W DEAN ST,0,Defer Maintenance,71.41316875,Concrete,84,47.83000183,74,1123,5.125,7,,1,0,0,5,1,0,0,0,0,0,0,0,0,0,
CLOVER ST,30,Reconstruction,86.95689437,Concrete,388,226.3300018,5,1124,5.25,56,,3,6,5,0,1,6,5,1,8,20,0,0,0,1,
LOUISE ST,8,Reconstruction,91.52324869,Concrete,143,87.38999939,13,1125,5.5,14,,0,2,0,0,2,2,0,0,4,4,0,0,0,0,
ROBERTS ST,10,Reconstruction,74.45178851,Concrete,350,204.1699982,45,1126,5.25,32,,3,2,2,11,0,2,2,1,1,1,0,5,2,0,
MISHAWAKA AVE,13,Reconstruction,80.42591395,Concrete,184,120.1100006,11,1127,5.875,17,,0,2,0,0,0,2,0,1,8,4,0,0,0,0,
WALL ST,5,Reconstruction,86.69337113,Concrete,155,90.41999817,9,1128,5.25,31,,0,11,2,0,0,11,2,1,0,0,2,2,0,0,
NURSERY PLACE CT,6,Reconstruction,84.05965834,Concrete,140,79.72000122,34,1129,5.125,15,,3,1,2,0,0,1,2,5,0,0,0,0,0,1,
S TWYCKENHAM DR,,Reconstruction,33.32528958,Concrete,30,18.32999992,,1130,5.5,,,,,,,,,,,,,,,,,
W JEFFERSON BLVD,10,Reconstruction,75.89568968,Concrete,299,161.9600067,44,1131,4.875,36,,1,1,0,22,1,1,0,2,5,1,0,0,2,0,
